time,open,high,low,close,tick_volume
2025-10-18 07:25:18.231046,16000.0,16007.8,15992.2,16000.0,1067
2025-10-18 07:26:18.231046,16000.0,16001.65,15982.67,15984.32,1128
2025-10-18 07:27:18.231046,15984.32,15990.67,15983.76,15990.11,1169
2025-10-18 07:28:18.231046,15990.11,15998.0,15987.4,15995.29,893
2025-10-18 07:29:18.231046,15995.29,16033.61,15973.13,16011.45,1041
2025-10-18 07:30:18.231046,16011.45,16017.86,16006.21,16012.61,1006
2025-10-18 07:31:18.231046,16012.61,16032.68,15991.97,16012.04,910
2025-10-18 07:32:18.231046,16012.04,16025.94,16004.86,16018.76,1024
2025-10-18 07:33:18.231046,16018.76,16021.1,16016.8,16019.14,1128
2025-10-18 07:34:18.231046,16019.14,16021.73,15996.67,15999.25,896
2025-10-18 07:35:18.231046,15999.25,16016.64,15997.08,16014.47,834
2025-10-18 07:36:18.231046,16014.47,16024.15,16000.51,16010.19,1135
2025-10-18 07:37:18.231046,16010.19,16011.45,16009.37,16010.63,1181
2025-10-18 07:38:18.231046,16010.63,16018.42,15996.28,16004.07,1185
2025-10-18 07:39:18.231046,16004.07,16020.84,16002.11,16018.88,1038
2025-10-18 07:40:18.231046,16018.88,16024.24,16005.97,16011.33,810
2025-10-18 07:41:18.231046,16011.33,16018.48,16006.08,16013.23,925
2025-10-18 07:42:18.231046,16013.23,16016.65,16010.11,16013.53,1011
2025-10-18 07:43:18.231046,16013.53,16023.52,16005.63,16015.61,1191
2025-10-18 07:44:18.231046,16015.61,16023.38,16002.21,16009.98,874
2025-10-18 07:45:18.231046,16009.98,16014.31,16006.97,16011.3,1082
2025-10-18 07:46:18.231046,16011.3,16017.2,16006.03,16011.92,1093
2025-10-18 07:47:18.231046,16011.92,16018.74,16007.95,16014.77,865
2025-10-18 07:48:18.231046,16014.77,16043.72,15981.8,16010.75,999
2025-10-18 07:49:18.231046,16010.75,16021.94,16000.09,16011.28,948
2025-10-18 07:50:18.231046,16011.28,16011.92,16007.07,16007.7,1010
2025-10-18 07:51:18.231046,16007.7,16014.87,16000.39,16007.56,996
2025-10-18 07:52:18.231046,16007.56,16020.04,16003.71,16016.19,1064
2025-10-18 07:53:18.231046,16016.19,16029.82,16005.72,16019.35,913
2025-10-18 07:54:18.231046,16019.35,16029.63,15999.33,16009.61,800
2025-10-18 07:55:18.231046,16009.61,16024.06,15998.88,16013.33,1108
2025-10-18 07:56:18.231046,16013.33,16014.57,16004.24,16005.48,836
2025-10-18 07:57:18.231046,16005.48,16010.99,16003.89,16009.4,919
